,origin
LFBG,196
CYRO,195
KNRQ,195
NZPI,195
09PA,195
KBVS,194
SADM,194
CA35,193
KL35,192
5AZ3,192
KVAY,191
KADG,191
KC77,191
KGXY,190
LOAN,190
LZKZ,189
KBFL,189
KSMQ,189
KDUJ,189
3NK5,188
KLEE,186
OI34,186
KRIR,185
KREI,185
0FD0,185
EGVN,185
KDVN,184
K4N1,184
EKRK,183
FA54,182
EKEB,182
CYSN,182
5MN0,181
RCNN,181
KMGW,180
LDSR,180
KLSV,180
KORS,180
YSLT,180
KTIK,180
EKAH,179
EDLV,178
KERV,178
27CL,178
VT25,178
KLHQ,178
7TA0,178
KGVT,177
KOLS,177
KHVN,177
KMAE,177
9NC9,176
35FA,176
EHGG,176
KEGI,175
FD82,175
KTZR,175
ETNL,174
MA72,174
EGPE,174
YCVG,173
LIED,173
KFFC,173
KHRJ,172
77TX,172
KANP,172
EGBP,171
PAEN,171
24PA,171
NC03,171
LFKJ,171
EDMO,170
36II,170
KNTD,170
YBUN,169
KIAG,169
KIGX,169
34XS,168
KJWN,168
KSGS,168
WSAC,168
KTHV,168
KIPL,167
LGRP,167
IL38,167
KMAN,167
KLWM,167
KAHN,166
KNUN,166
LSZC,166
0CL3,165
LGKN,165
KMCW,165
KU08,165
LFLC,165
KVLL,164
KRWI,164
18AZ,164
16XS,163
KNUC,162
KPOB,162
KDAA,162
KN87,161
KBAZ,161
ETNH,161
LIEA,160
TVSA,160
KFET,160
60CO,160
LFPL,160
KTVL,160
KDOV,159
KSNC,159
6CO4,159
K0L7,158
KJST,158
SLCB,157
PN62,157
KSFQ,157
EIKN,157
48AZ,157
SC32,156
LRSB,156
LFPV,156
WBKL,156
KOUN,155
ESOW,155
SAAR,155
KO61,155
CYKA,154
KWDR,154
CYYT,154
LSZA,153
AL72,152
KDXR,152
06VA,152
KMYV,152
KHKY,152
EGTE,152
YSRI,151
EGBJ,151
OIBK,150
KALO,150
CYOO,149
KCHN,149
KVPC,148
KSCH,148
K6I4,148
EGJB,148
KHUA,148
KCEW,147
KPTW,147
KCPU,147
KNGU,147
CA84,147
KTMB,146
KJWY,146
YWIO,146
KW32,146
KBDU,146
KNPA,146
YAMB,146
KAUW,145
CYPK,145
3NC5,145
AZ64,145
KPCM,145
LSZG,144
EDFC,144
KSFZ,144
ESDF,144
UWWW,144
JY04,144
YBSS,143
LKPD,143
LOAV,143
LELL,143
2FD6,142
EYKA,142
FA40,142
KRYV,142
38IN,142
CYQQ,142
YMUL,141
FADX,141
KGPH,141
SBJD,141
KWRI,140
KCLM,140
LKTB,140
K3C8,140
KLNC,140
1AZ0,140
CPN8,140
KIXD,139
FD90,139
EGNL,139
TE88,138
1PA5,138
VA87,138
0WN1,138
LFLP,138
NZWP,137
EDLN,137
2MO1,137
EGJJ,136
LIPO,135
OR81,135
YBNS,135
KN57,135
YPEC,135
KMKY,135
KU14,135
KOFF,134
FL35,133
KSMX,133
SC86,133
UT13,133
EBKT,132
KISO,130
KGYH,130
TJMZ,130
KDYL,130
LIRE,130
1CA6,129
YTYA,129
KCGS,129
CYQB,128
EDRY,128
FL47,128
KGVL,128
KJZP,127
4WA9,127
WMLU,126
KAND,126
EGHQ,126
2MI3,126
36AZ,126
KTFP,126
KLVN,126
86TX,126
37CA,126
KSEF,125
KTDF,125
KI74,125
KONP,124
K9A1,124
SDCO,124
EDKB,124
KMGE,124
KRST,124
97KS,124
AL16,124
KSMD,124
KMCO,124
EGTR,123
91OI,123
9FD2,122
KDLL,122
K12J,122
KAVP,122
KCGE,122
UNEE,122
KNKL,122
03FA,121
KCEU,121
YCNK,120
MI56,120
KBLV,120
KSKF,120
FD04,120
WN51,120
CYQY,120
LFMN,119
OMRK,119
KSLK,119
EGNR,119
YBRS,119
ETOU,119
PN14,119
KDUH,119
KC09,119
64GA,118
KOQU,118
EPBY,118
EGNV,118
LGMG,118
K00V,118
KDCU,117
6NA2,117
KE45,117
CYKZ,117
GCLP,117
EFJO,117
KO70,117
ZGGG,117
MDMA,116
8AK2,116
KBTA,116
K10C,116
EDWI,116
LKMT,116
KDLZ,115
KMPI,115
KL73,115
NH78,115
4NJ8,115
KMPO,114
KESN,114
LYNI,114
06IA,114
PABG,114
94FL,114
EDVK,114
79FD,114
KT41,113
UWLL,113
KBMG,113
FL17,113
EGYD,113
GCXO,113
KGMU,113
NH60,112
58FD,112
KBTP,112
KFOE,111
YKEL,111
UAII,111
4FL8,111
04WA,110
KO41,110
KRAS,110
LFLU,110
KGHG,110
3TX2,109
KIGQ,109
MA36,109
EDTX,109
KBKV,109
OR38,108
KBNG,108
KPVF,108
KVTA,108
KFMH,108
YGIG,108
KHWY,108
LIRZ,107
KMHT,107
KU30,107
UAAR,107
LOWK,107
KGWW,106
TVSC,106
KEIK,105
KFOK,105
WN61,105
KLQK,105
05TE,104
KHRL,104
KC15,104
KS36,104
TN79,104
61WA,104
KX04,104
KUUU,103
WA67,103
KNTU,103
K17N,103
MA55,103
KSGH,103
63PA,102
KXFL,102
KECG,102
KOMH,102
29GA,102
ESMT,102
0CO1,102
K7S9,101
KSLR,101
LFMA,101
KBTV,101
45OH,101
EKRN,101
K3A1,100
EGWU,100
MI77,100
NZPN,100
KFCS,100
LEMP,100
KGCM,100
